,Tarih,Şimdi_x,Açılış_x,Yüksek_x,Düşük_x,Hac._x,Fark %_x
0,02.01.2020,"1.406,81","1.394,05","1.406,81","1.389,89","1,40B","1,33%"
1,03.01.2020,"1.380,25","1.396,87","1.403,15","1.370,28","1,63B","-1,89%"
2,06.01.2020,"1.355,14","1.367,39","1.373,27","1.352,44","1,08B","-1,82%"
3,07.01.2020,"1.365,75","1.369,60","1.376,24","1.362,46","907,81M","0,78%"
4,08.01.2020,"1.372,38","1.348,53","1.377,32","1.345,77","1,24B","0,49%"
5,09.01.2020,"1.436,06","1.400,60","1.438,06","1.400,49","1,96B","4,64%"
6,10.01.2020,"1.444,56","1.438,74","1.450,32","1.431,66","1,74B","0,59%"
7,13.01.2020,"1.463,38","1.456,54","1.473,17","1.455,78","1,84B","1,30%"
8,14.01.2020,"1.474,44","1.464,40","1.475,71","1.454,57","1,72B","0,76%"
9,15.01.2020,"1.465,95","1.471,23","1.478,89","1.462,02","1,74B","-0,58%"
10,16.01.2020,"1.466,41","1.470,45","1.484,31","1.464,34","1,81B","0,03%"
11,17.01.2020,"1.472,28","1.474,55","1.477,21","1.461,60","1,14B","0,40%"
12,20.01.2020,"1.485,78","1.477,28","1.490,58","1.477,28","1,11B","0,92%"
13,21.01.2020,"1.496,79","1.475,54","1.500,57","1.471,53","1,28B","0,74%"
14,22.01.2020,"1.484,10","1.505,17","1.509,25","1.480,02","1,35B","-0,85%"
15,23.01.2020,"1.479,67","1.478,77","1.491,85","1.476,14","1,20B","-0,30%"
16,24.01.2020,"1.472,64","1.494,80","1.497,63","1.455,34","1,51B","-0,48%"
17,27.01.2020,"1.444,61","1.453,11","1.463,69","1.442,41","1,14B","-1,90%"
18,28.01.2020,"1.439,96","1.452,31","1.455,09","1.434,53","1,20B","-0,32%"
19,29.01.2020,"1.439,38","1.449,27","1.451,17","1.437,74","1,09B","-0,04%"
20,30.01.2020,"1.445,07","1.433,13","1.445,07","1.424,72","1,20B","0,40%"
21,31.01.2020,"1.429,42","1.446,46","1.449,01","1.429,42","1,61B","-1,08%"
22,03.02.2020,"1.428,79","1.432,60","1.435,25","1.423,38","1,10B","-0,04%"
23,04.02.2020,"1.467,89","1.444,51","1.468,96","1.440,53","1,28B","2,74%"
24,05.02.2020,"1.468,28","1.470,76","1.486,90","1.465,27","1,56B","0,03%"
25,06.02.2020,"1.466,59","1.472,88","1.488,25","1.463,10","1,43B","-0,12%"
26,07.02.2020,"1.448,48","1.468,34","1.472,27","1.447,42","1,08B","-1,23%"
27,10.02.2020,"1.417,99","1.439,78","1.448,63","1.401,24","1,56B","-2,10%"
28,11.02.2020,"1.436,30","1.431,06","1.439,92","1.407,76","1,50B","1,29%"
29,12.02.2020,"1.437,98","1.437,61","1.456,13","1.428,93","1,77B","0,12%"
30,13.02.2020,"1.440,89","1.436,56","1.444,58","1.428,94","1,13B","0,20%"
31,14.02.2020,"1.435,52","1.447,44","1.454,00","1.434,78","1,09B","-0,37%"
32,17.02.2020,"1.443,53","1.446,02","1.448,74","1.441,10","1,11B","0,56%"
33,18.02.2020,"1.430,22","1.438,22","1.438,34","1.424,94","1,19B","-0,92%"
34,19.02.2020,"1.427,28","1.434,64","1.440,37","1.418,89","1,02B","-0,21%"
35,20.02.2020,"1.388,08","1.427,73","1.429,20","1.380,25","1,53B","-2,75%"
36,21.02.2020,"1.400,41","1.380,69","1.408,89","1.375,57","1,46B","0,89%"
37,24.02.2020,"1.371,41","1.377,97","1.377,97","1.355,99","1,12B","-2,07%"
38,25.02.2020,"1.362,56","1.380,65","1.384,22","1.359,14","1,25B","-0,65%"
39,26.02.2020,"1.373,49","1.362,47","1.374,74","1.346,94","1,25B","0,80%"
40,27.02.2020,"1.316,39","1.357,54","1.363,44","1.316,39","1,53B","-4,16%"
41,28.02.2020,"1.263,04","1.191,15","1.285,09","1.191,15","1,10B","-4,05%"
42,02.03.2020,"1.275,71","1.291,08","1.302,41","1.265,94","895,54M","1,00%"
43,03.03.2020,"1.326,52","1.295,95","1.326,52","1.295,68","1,04B","3,98%"
44,04.03.2020,"1.324,32","1.323,16","1.349,85","1.319,46","1,21B","-0,17%"
45,05.03.2020,"1.335,95","1.344,42","1.351,64","1.330,22","840,32M","0,88%"
46,06.03.2020,"1.308,97","1.332,78","1.342,30","1.300,12","903,03M","-2,02%"
47,09.03.2020,"1.241,39","1.273,22","1.273,34","1.228,26","890,66M","-5,16%"
48,10.03.2020,"1.219,95","1.271,46","1.283,93","1.219,34","1,06B","-1,73%"
49,11.03.2020,"1.220,30","1.213,59","1.242,41","1.195,91","1,00B","0,03%"
50,12.03.2020,"1.137,74","1.190,12","1.195,39","1.124,78","888,16M","-6,77%"
51,13.03.2020,"1.158,49","1.139,31","1.201,19","1.114,79","1,37B","1,82%"
52,16.03.2020,"1.066,09","1.117,05","1.117,05","1.051,60","878,70M","-7,98%"
53,17.03.2020,"1.058,54","1.081,86","1.081,86","996,64","1,33B","-0,71%"
54,18.03.2020,"1.041,34","1.034,18","1.069,31","1.028,34","988,97M","-1,62%"
55,19.03.2020,"1.035,49","1.034,33","1.057,09","1.020,94","1,09B","-0,56%"
56,20.03.2020,"1.037,27","1.059,06","1.070,57","1.027,78","923,86M","0,17%"
57,23.03.2020,"1.014,10","1.003,38","1.046,02","993,05","1,16B","-2,23%"
58,24.03.2020,"1.074,01","1.054,97","1.079,93","1.046,24","1,21B","5,91%"
59,25.03.2020,"1.066,04","1.087,23","1.104,32","1.058,38","1,54B","-0,74%"
60,26.03.2020,"1.097,35","1.064,20","1.100,29","1.059,62","1,36B","2,94%"
61,27.03.2020,"1.055,40","1.099,96","1.106,32","1.055,40","1,12B","-3,82%"
62,30.03.2020,"1.053,54","1.052,22","1.063,66","1.039,30","796,15M","-0,18%"
63,31.03.2020,"1.067,91","1.067,99","1.079,47","1.058,46","939,18M","1,36%"
64,01.04.2020,"1.061,48","1.050,47","1.076,23","1.045,90","1,25B","-0,60%"
65,02.04.2020,"1.066,63","1.069,15","1.077,31","1.050,16","1,49B","0,49%"
66,03.04.2020,"1.064,67","1.067,02","1.071,48","1.060,57","901,06M","-0,18%"
67,06.04.2020,"1.092,25","1.081,97","1.093,12","1.076,24","980,53M","2,59%"
68,07.04.2020,"1.098,70","1.105,63","1.126,25","1.098,70","1,69B","0,59%"
69,08.04.2020,"1.108,43","1.099,15","1.108,94","1.092,64","858,20M","0,89%"
70,09.04.2020,"1.144,13","1.120,87","1.144,13","1.113,49","1,81B","3,22%"
71,10.04.2020,"1.152,40","1.148,63","1.166,49","1.138,33","1,37B","0,72%"
72,13.04.2020,"1.147,42","1.138,53","1.161,00","1.133,34","1,20B","-0,43%"
73,14.04.2020,"1.177,78","1.161,15","1.178,37","1.160,59","1,56B","2,65%"
74,15.04.2020,"1.143,38","1.182,44","1.185,82","1.134,22","1,54B","-2,92%"
75,16.04.2020,"1.143,85","1.153,55","1.158,18","1.136,00","1,10B","0,04%"
76,17.04.2020,"1.169,22","1.170,04","1.177,64","1.162,44","1,23B","2,22%"
77,20.04.2020,"1.174,68","1.173,83","1.179,65","1.164,90","1,07B","0,47%"
78,21.04.2020,"1.155,30","1.166,49","1.168,31","1.151,49","871,82M","-1,65%"
79,22.04.2020,"1.157,90","1.160,73","1.168,32","1.157,53","1,11B","0,23%"
80,24.04.2020,"1.161,89","1.159,86","1.170,23","1.152,46","1,07B","0,34%"
81,27.04.2020,"1.189,70","1.175,84","1.190,83","1.175,51","1,26B","2,39%"
82,28.04.2020,"1.181,82","1.191,56","1.195,94","1.179,84","1,11B","-0,66%"
83,29.04.2020,"1.191,29","1.187,41","1.192,97","1.178,44","1,01B","0,80%"
84,30.04.2020,"1.187,61","1.195,22","1.200,70","1.168,15","1,24B","-0,31%"
85,04.05.2020,"1.158,06","1.177,52","1.177,52","1.151,89","809,37M","-2,49%"
86,05.05.2020,"1.155,65","1.167,01","1.168,74","1.147,64","1,10B","-0,21%"
87,06.05.2020,"1.154,03","1.156,43","1.162,01","1.148,45","1,27B","-0,14%"
88,07.05.2020,"1.149,33","1.154,01","1.161,45","1.145,40","1,50B","-0,41%"
89,08.05.2020,"1.145,91","1.154,39","1.163,08","1.143,22","1,64B","-0,30%"
90,11.05.2020,"1.142,07","1.151,90","1.154,75","1.142,07","1,07B","-0,34%"
91,12.05.2020,"1.161,18","1.143,36","1.162,61","1.140,35","1,44B","1,67%"
92,13.05.2020,"1.164,18","1.161,28","1.173,18","1.157,38","1,30B","0,26%"
93,14.05.2020,"1.153,30","1.161,56","1.163,87","1.146,77","1,14B","-0,93%"
94,15.05.2020,"1.158,29","1.158,47","1.173,56","1.158,29","835,37M","0,43%"
95,18.05.2020,"1.186,03","1.170,69","1.188,95","1.170,69","1,12B","2,39%"
96,20.05.2020,"1.184,13","1.191,96","1.197,82","1.184,13","1,04B","-0,16%"
97,21.05.2020,"1.191,90","1.185,02","1.198,49","1.185,02","1,11B","0,66%"
98,22.05.2020,"1.194,74","1.189,30","1.199,77","1.184,21","702,36M","0,24%"
99,27.05.2020,"1.216,37","1.203,96","1.222,64","1.203,96","1,60B","1,81%"
100,28.05.2020,"1.224,70","1.222,70","1.234,72","1.215,70","1,78B","0,68%"
101,29.05.2020,"1.229,18","1.222,17","1.229,40","1.217,21","1,98B","0,37%"
102,01.06.2020,"1.249,50","1.241,16","1.250,96","1.239,65","1,71B","1,65%"
103,02.06.2020,"1.259,00","1.255,78","1.265,56","1.247,45","1,97B","0,76%"
104,03.06.2020,"1.271,05","1.268,69","1.274,79","1.262,43","1,54B","0,96%"
105,04.06.2020,"1.279,08","1.274,03","1.281,84","1.267,07","1,77B","0,63%"
106,05.06.2020,"1.286,64","1.286,67","1.293,86","1.280,24","1,23B","0,59%"
107,08.06.2020,"1.280,45","1.289,34","1.298,40","1.276,24","1,72B","-0,48%"
108,09.06.2020,"1.272,84","1.283,89","1.288,79","1.265,38","1,74B","-0,59%"
109,10.06.2020,"1.277,67","1.276,65","1.285,27","1.273,92","2,04B","0,38%"
110,11.06.2020,"1.267,24","1.272,72","1.279,29","1.262,40","2,22B","-0,82%"
111,12.06.2020,"1.272,09","1.258,90","1.276,96","1.251,96","1,73B","0,38%"
112,15.06.2020,"1.266,36","1.266,27","1.271,66","1.257,23","1,45B","-0,45%"
113,16.06.2020,"1.279,86","1.281,01","1.292,69","1.279,29","1,67B","1,07%"
114,17.06.2020,"1.276,21","1.282,48","1.285,46","1.270,03","1,34B","-0,29%"
115,18.06.2020,"1.298,43","1.277,70","1.300,25","1.277,70","2,56B","1,74%"
116,19.06.2020,"1.317,97","1.312,22","1.324,39","1.307,29","3,74B","1,50%"
117,22.06.2020,"1.335,72","1.331,76","1.340,64","1.326,21","3,02B","1,35%"
118,23.06.2020,"1.336,90","1.340,42","1.348,41","1.334,84","2,34B","0,09%"
119,24.06.2020,"1.325,90","1.336,72","1.341,19","1.324,96","2,73B","-0,82%"
120,25.06.2020,"1.322,60","1.325,03","1.334,07","1.315,31","1,89B","-0,25%"
121,26.06.2020,"1.326,14","1.334,36","1.336,24","1.323,45","1,28B","0,27%"
122,29.06.2020,"1.340,21","1.326,80","1.342,23","1.322,42","2,22B","1,06%"
123,30.06.2020,"1.347,19","1.347,03","1.353,46","1.342,46","3,51B","0,52%"
124,01.07.2020,"1.324,81","1.354,37","1.356,37","1.323,55","3,04B","-1,66%"
125,02.07.2020,"1.339,95","1.330,57","1.344,54","1.329,44","2,23B","1,14%"
126,03.07.2020,"1.320,46","1.344,25","1.345,00","1.315,57","2,05B","-1,45%"
127,06.07.2020,"1.349,17","1.330,37","1.349,92","1.330,37","2,31B","2,17%"
128,07.07.2020,"1.357,58","1.351,42","1.362,54","1.334,85","4,71B","0,62%"
129,08.07.2020,"1.348,62","1.358,69","1.364,95","1.347,09","4,02B","-0,66%"
130,09.07.2020,"1.322,59","1.355,72","1.360,32","1.320,66","3,47B","-1,93%"
131,10.07.2020,"1.312,85","1.318,55","1.318,55","1.293,89","3,36B","-0,74%"
132,13.07.2020,"1.347,36","1.326,60","1.347,36","1.323,61","2,64B","2,63%"
133,14.07.2020,"1.339,25","1.344,65","1.350,40","1.332,29","3,05B","-0,60%"
134,16.07.2020,"1.348,08","1.350,01","1.356,38","1.346,90","2,23B","0,66%"
135,17.07.2020,"1.343,79","1.346,91","1.349,05","1.340,57","1,46B","-0,32%"
136,20.07.2020,"1.345,30","1.343,19","1.351,91","1.339,21","1,87B","0,11%"
137,21.07.2020,"1.334,55","1.354,23","1.361,98","1.324,51","2,60B","-0,80%"
138,22.07.2020,"1.337,03","1.342,41","1.348,78","1.332,17","3,69B","0,19%"
139,23.07.2020,"1.348,21","1.343,85","1.355,47","1.341,94","1,82B","0,84%"
140,24.07.2020,"1.348,49","1.342,21","1.349,47","1.338,91","1,96B","0,02%"
141,27.07.2020,"1.350,00","1.356,13","1.361,33","1.347,53","1,60B","0,11%"
142,28.07.2020,"1.300,99","1.349,99","1.351,76","1.300,99","2,40B","-3,63%"
143,29.07.2020,"1.272,22","1.304,27","1.307,20","1.258,82","2,65B","-2,21%"
144,30.07.2020,"1.259,64","1.272,95","1.273,50","1.257,85","878,17M","-0,99%"
145,04.08.2020,"1.221,30","1.273,35","1.276,48","1.199,72","2,64B","-3,04%"
146,05.08.2020,"1.228,03","1.231,09","1.239,85","1.202,54","3,20B","0,55%"
147,06.08.2020,"1.170,82","1.225,63","1.229,66","1.170,82","3,48B","-4,66%"
148,07.08.2020,"1.196,61","1.167,78","1.198,66","1.124,14","4,20B","2,20%"
149,10.08.2020,"1.207,17","1.190,63","1.211,05","1.175,86","2,38B","0,88%"
150,11.08.2020,"1.248,68","1.214,37","1.252,45","1.214,37","3,28B","3,44%"
151,12.08.2020,"1.255,05","1.253,77","1.260,37","1.235,02","3,10B","0,51%"
